NLCD,description,landuse,N
11,Open Water,11,0.02
21,Developed - Open Space,21,0.03
22,Developed - Low Intensity,22,0.05
23,Developed - Medium Intensity,23,0.1
24,Developed - High Intensity,24,0.13
31,Barren Land,31,0.04
41,Deciduous Forest,41,0.16
42,Evergreen Forest,42,0.18
43,Mixed Forest,43,0.17
52,Shrub/Scrub,52,0.07
71,Grassland/Herbaceous,71,0.035
81,Pasture/Hay,81,0.033
82,Cultivated Crops,82,0.04
90,Woody Wetlands,90,0.14
95,Emergent Herbaceous Wetlands,95,0.045
12,Open Water - Barnegat lagoon (SAV),12,0.035
