,obs,cora,era5,d_cora,d_era5
2012-10-28 00:50:00,1.85,2.0786252,1.2491016,0.228625202178955,-0.6008983612060548
2012-10-28 01:50:00,1.89,2.2445738,1.3711355,0.35457383155822764,-0.5188645267486571
2012-10-28 02:50:00,1.97,2.406747,1.4963214,0.4367471027374268,-0.473678560256958
2012-10-28 03:50:00,2.41,2.5663464,1.621479,0.15634640693664537,-0.788520965576172
2012-10-28 04:50:00,2.44,2.7220006,1.7452087,0.28200059890747076,-0.694791259765625
2012-10-28 05:50:00,2.73,2.8602173,1.8639755,0.13021733283996584,-0.8660244750976562
2012-10-28 06:50:00,3.02,2.996398,2.034886,-0.023602027893066424,-0.9851141166687012
2012-10-28 07:50:00,3.22,3.1376512,2.1733172,-0.08234879493713398,-1.0466828060150148
2012-10-28 08:50:00,2.86,3.2542353,2.2638612,0.3942352676391603,-0.5961388206481932
2012-10-28 09:50:00,2.94,3.2897356,2.2185206,0.34973555564880376,-0.7214793586730956
2012-10-28 10:50:00,2.89,3.2837462,2.1772206,0.39374624252319324,-0.712779417037964
2012-10-28 11:50:00,3.23,3.3098335,2.1853833,0.07983352661132814,-1.0446166801452637
2012-10-28 12:50:00,3.18,3.3920882,2.2773123,0.21208817481994613,-0.9026877212524416
2012-10-28 13:50:00,3.1,3.5200062,2.4428449,0.4200061798095702,-0.6571551322937013
2012-10-28 14:50:00,3.22,3.6615186,2.6357627,0.44151857376098613,-0.5842373085021975
2012-10-28 15:50:00,3.4,3.804264,2.8220477,0.4042640686035157,-0.5779522895812987
2012-10-28 16:50:00,3.84,3.9589455,2.973834,0.11894551277160659,-0.8661659622192381
2012-10-28 17:50:00,3.93,4.1404824,3.0854416,0.2104824256896971,-0.8445584106445314
2012-10-28 18:50:00,4.52,4.2704906,3.1854556,-0.2495093536376949,-1.3345444393157955
2012-10-28 19:50:00,4.66,4.359021,3.269907,-0.30097881317138686,-1.390093002319336
2012-10-28 20:50:00,4.37,4.4610066,3.3516264,0.09100664138793935,-1.0183736038208009
2012-10-28 21:50:00,4.43,4.575057,3.3624694,0.14505702972412138,-1.0675305652618405
