arm,pt,lon,lat,depth_m,imposed_hs,breaking_cap,gamma,admissible
faber-waves-premier,0,-74.0696,39.7734,10.9,8.624,8.52,0.789,False
faber-waves-premier,1,-74.0714,39.8144,10.2,8.624,7.97,0.844,False
faber-waves-premier,2,-74.0497,40.013,7.5,8.624,5.87,1.146,False
faber-waves-premier,3,-74.0271,40.1153,7.4,8.624,5.8,1.16,False
faber-waves-premier,4,-73.9944,40.2203,9.5,8.624,7.45,0.903,False
faber-waves-premier,5,-73.9657,40.3019,9.4,8.624,7.3,0.922,False
faber-waves-premier,6,-73.9463,40.3465,13.4,8.624,10.48,0.642,True
wave-cora,0,-74.0696,39.7734,10.9,5.68,8.52,0.52,True
wave-cora,1,-74.0714,39.8144,10.2,5.423,7.97,0.531,True
wave-cora,2,-74.0497,40.013,7.5,4.816,5.87,0.64,True
wave-cora,3,-74.0271,40.1153,7.4,5.09,5.8,0.684,True
wave-cora,4,-73.9944,40.2203,9.5,5.506,7.45,0.577,True
wave-cora,5,-73.9657,40.3019,9.4,5.245,7.3,0.561,True
wave-cora,6,-73.9463,40.3465,13.4,6.114,10.48,0.455,True
