hwm_id,obs,quality,wse_spread_p90_p10,res_max,res_median,res_nearest,hwm_type,hcollect,waterbody
6145,3.383,2.0,0.1770033836364746,1.0008825225830078,-0.171266658782959,-0.2175770835876465,Seed line,Map (digital or paper),
6158,3.962,1.0,0.1415560245513916,-0.255684244155884,-0.6706994647979738,-0.6473652000427248,Seed line,Map (digital or paper),
6164,2.926,2.0,0.31429195404052734,0.19557917022705062,-0.0488394508361818,-0.09171021080017105,Seed line,Map (digital or paper),
6173,3.962,2.0,0.14536190032958984,-0.20427070808410663,-0.6348401184082033,-0.625827180862427,Debris,Map (digital or paper),
6148,3.048,3.0,0.1298081874847412,-0.025415561676025433,-0.20356240081787114,-0.1387077789306641,Mud,Map (digital or paper),
6152,2.926,3.0,0.23331689834594727,0.7565857162475584,-0.06179273223876969,-0.009993911743164219,Mud,Map (digital or paper),
6154,3.566,2.0,0.3606126308441162,-0.5105731639862059,-0.9385030422210692,-0.5105731639862059,Seed line,Map (digital or paper),
6155,1.585,1.0,0.27341222763061523,1.9019556427001953,1.3697255039215088,1.3398650074005127,Seed line,Map (digital or paper),
6157,3.658,1.0,0.24789690971374512,0.14925598335266121,-0.375834711074829,-0.14557076263427726,Seed line,Map (digital or paper),
6159,4.42,2.0,0.22711730003356934,-0.6188382339477538,-1.0030285549163818,-0.9343332481384277,Seed line,Map (digital or paper),
6160,4.42,1.0,0.27570581436157227,-0.20427505493164055,-1.0042723846435546,-1.010985059738159,Seed line,Map (digital or paper),
6163,2.896,2.0,0.25603151321411133,0.5977462806701661,0.1405774631500245,0.1320940532684327,Seed line,Map (digital or paper),
6167,3.078,2.0,0.21052813529968262,0.2802801818847658,0.008159467697143707,-0.02294676589965805,Seed line,Map (digital or paper),
6168,2.865,1.0,0.11163997650146484,0.9811410999298094,0.223487386703491,0.23187042236328104,Seed line,Map (digital or paper),
6175,1.951,1.0,0.15776705741882324,1.4614739170074462,-0.2701345930099488,-0.3081801185607911,Seed line,Map (digital or paper),
6181,1.585,3.0,0.13985097408294678,0.09642890930175785,-0.09364696502685543,-0.048038682937622035,Seed line,Map (digital or paper),
6182,1.615,1.0,1.9142115116119385,9.16845775604248,0.7152078247070313,0.7600028610229492,Seed line,Map (digital or paper),
6103,3.871,2.0,0.15787672996520996,0.11444859886169434,-0.06717486000061035,-0.10605163192749023,Seed line,Map (digital or paper),
6193,1.859,2.0,0.16339683532714844,0.24514314270019533,-0.11327687168121336,-0.1178367462158203,Seed line,Map (digital or paper),
6194,1.951,4.0,1.7826588153839111,3.708224033355713,0.8038823356628417,0.8587612857818603,Debris,Map (digital or paper),
6195,2.896,2.0,0.6849029064178467,1.2596711196899415,0.21036758804321298,0.30321278953552255,Seed line,Map (digital or paper),
6408,4.023,2.0,0.1673572063446045,-0.026826618194579765,-0.5578289012908932,-0.3870484809875485,Debris,Map (digital or paper),
6406,3.993,2.0,0.058785438537597656,-0.4908015422821044,-0.5255388908386229,-0.5241303138732909,Debris,Map (digital or paper),
6407,4.023,3.0,0.15837597846984863,0.5563066024780277,-0.695319412231445,-0.6826307754516598,Seed line,Map (digital or paper),
6409,3.962,3.0,0.2003340721130371,-0.23816190910339374,-0.5361653442382814,-0.4561558837890627,Debris,Map (digital or paper),
6178,1.768,3.0,0.1367570161819458,0.38975465965270994,0.1124500102996826,0.1444946594238281,Seed line,Map (digital or paper),
6101,4.084,3.0,,,,,Debris,Map (digital or paper),
6102,3.932,2.0,,,,,Seed line,Map (digital or paper),
6106,3.383,1.0,0.1145627498626709,-0.09887371826171876,-0.23261676597595216,-0.2451189594268799,Seed line,Map (digital or paper),
6122,3.139,2.0,0.3238213062286377,-0.4825964584350584,-1.2011646642684934,-0.8021393432617185,Debris,Map (digital or paper),
6123,3.536,2.0,0.17238092422485352,0.12915946388244626,-0.10116790390014652,-0.09238813972473148,Debris,Map (digital or paper),
6124,3.2,2.0,0.2379000186920166,0.7168303012847899,-0.33042974472045916,-0.25535411834716815,Debris,Map (digital or paper),
6127,3.383,2.0,,,,,Debris,Map (digital or paper),
6128,3.658,3.0,0.18215155601501465,0.4162101669311524,0.16072129440307625,0.3018872661590577,Debris,Map (digital or paper),
6135,3.322,2.0,0.2788984775543213,-0.15984580230712897,-0.3267056674957276,-0.3830594749450684,Seed line,Map (digital or paper),
6136,4.602,4.0,0.48590803146362305,-1.3087494392395023,-1.6674144287109378,-1.7518231887817386,Debris,Map (digital or paper),
6137,2.926,2.0,0.16192364692687988,0.470130323410034,-0.018770099639892734,0.02411520385742172,Seed line,Map (digital or paper),
