run,est,rad_m,n,bias,rmse
v1,max,12.5,18,0.0177,0.1964
v1,median,12.5,18,-0.1483,0.2053
v1,nearest,12.5,18,-0.1275,0.1841
v1,p75,12.5,18,-0.1201,0.19
v1,max,25.0,18,0.0931,0.243
v1,median,25.0,18,-0.1469,0.2117
v1,nearest,25.0,18,-0.1275,0.1841
v1,p75,25.0,18,-0.1109,0.1942
v1,max,50.0,19,0.3217,0.4828
v1,median,50.0,19,-0.213,0.3852
v1,nearest,50.0,19,-0.1686,0.275
v1,p75,50.0,19,-0.1722,0.3671
v1,max,75.0,19,0.5115,0.6162
v1,median,75.0,19,-0.2084,0.3778
v1,nearest,75.0,19,-0.1686,0.275
v1,p75,75.0,19,-0.1665,0.3658
v1,max,100.0,19,0.6897,0.8885
v1,median,100.0,19,-0.2053,0.3739
v1,nearest,100.0,19,-0.1686,0.275
v1,p75,100.0,19,-0.1514,0.363
v1,max,150.0,19,1.1149,1.5268
v1,median,150.0,19,-0.2028,0.3708
v1,nearest,150.0,19,-0.1686,0.275
v1,p75,150.0,19,-0.0925,0.375
v2,max,12.5,18,-0.0134,0.1312
v2,median,12.5,18,-0.1354,0.1823
v2,nearest,12.5,18,-0.1507,0.198
v2,p75,12.5,18,-0.1022,0.1635
v2,max,25.0,18,0.0731,0.2274
v2,median,25.0,18,-0.1331,0.1849
v2,nearest,25.0,18,-0.1507,0.198
v2,p75,25.0,18,-0.0986,0.1648
v2,max,50.0,19,0.4922,0.6356
v2,median,50.0,19,-0.1862,0.3276
v2,nearest,50.0,19,-0.185,0.2665
v2,p75,50.0,19,-0.1424,0.3015
v2,max,75.0,19,0.6655,0.8775
v2,median,75.0,19,-0.1833,0.3276
v2,nearest,75.0,19,-0.185,0.2665
v2,p75,75.0,19,-0.1168,0.3096
v2,max,100.0,19,0.77,0.9514
v2,median,100.0,19,-0.1803,0.3254
v2,nearest,100.0,19,-0.185,0.2665
v2,p75,100.0,19,-0.0928,0.3215
v2,max,150.0,19,1.0257,1.2985
v2,median,150.0,19,-0.1766,0.3226
v2,nearest,150.0,19,-0.185,0.2665
v2,p75,150.0,19,-0.0425,0.3347
