hwm_id,elev_m,quality,quality_txt,hwm_type,hcollect,hcollect_id,hdatum,vcollect,height_above_gnd,stillwater,environment,waterbody,site_id,lon,lat,description
6098,3.932,2,Good: +/- 0.10 ft,Debris,Map (digital or paper),4,NAD83,,,,Coastal,,7286,-74.256949,40.461606,on sandy slope
6099,4.816,4,Poor: +/- 0.40 ft,Debris,Map (digital or paper),4,NAD83,,,,Coastal,,7287,-74.244733,40.457899,asphalt sidewalk
6101,4.084,3,Fair: +/- 0.20 ft,Debris,Map (digital or paper),4,NAD83,,,,Coastal,,7289,-74.299872,40.500586,sidewalk on southeast corner of building
6102,3.932,2,Good: +/- 0.10 ft,Seed line,Map (digital or paper),4,NAD83,,,,Coastal,,7290,-74.288275,40.509939,seed/mud line on inside door at southwest corner of AT&T building
6103,3.871,2,Good: +/- 0.10 ft,Seed line,Map (digital or paper),4,NAD83,,,,Coastal,,7291,-74.261783,40.509297,seed/mud line on north wall of utility room in parking garage
6106,3.383,1,Excellent: +/- 0.05 ft,Seed line,Map (digital or paper),4,NAD83,,,,Coastal,,7294,-74.00268,40.4622,inside wall of utility room
6111,4.145,1,Excellent: +/- 0.05 ft,Seed line,Map (digital or paper),4,NAD83,,,,Coastal,,7299,-74.276553,40.501011,seed and mud line on west side entrance of red brick city building on 2nd St
6112,4.054,1,Excellent: +/- 0.05 ft,Seed line,Map (digital or paper),4,NAD83,,,,Coastal,,7300,-74.277331,40.485272,seed and sud line on insid eof house on Augusta St
6113,3.993,3,Fair: +/- 0.20 ft,Debris,Map (digital or paper),4,NAD83,,,,Coastal,,7286,-74.256953,40.4616,40 ft south of Route 35 and 120 ft northeast of entrance to Viking Marina entrance at southeast end of bridge
6114,4.145,1,Excellent: +/- 0.05 ft,Seed line,Map (digital or paper),4,NAD83,,,,Coastal,,7301,-74.24205,40.452683,seed and mud line on upper level exterior door on building on Route 35
6116,3.962,2,Good: +/- 0.10 ft,Debris,Map (digital or paper),4,NAD83,,,,Coastal,,7303,-74.231144,40.443922,"100 ft southeast of ""Welcome to Aberdeen Township"" sign and directly behind powerpole JC209ABT"
6117,3.505,3,Fair: +/- 0.20 ft,Debris,Map (digital or paper),4,NAD83,,,,Coastal,,7304,-73.980033,40.316123,on a 40 degree sloped yard
6118,5.791,3,Fair: +/- 0.20 ft,Debris,Map (digital or paper),4,NAD83,,,,Coastal,,7305,-73.978439,40.306867,mowed grass lawn
6119,5.304,3,Fair: +/- 0.20 ft,Debris,Map (digital or paper),4,NAD83,,,,Coastal,,7306,-73.984877,40.275984,front yard
6120,4.45,4,Poor: +/- 0.40 ft,Debris,Map (digital or paper),4,NAD83,,,,Coastal,,7307,-73.985726,40.276211,mowed grass area
6121,4.176,2,Good: +/- 0.10 ft,Debris,Map (digital or paper),4,NAD83,,,,Coastal,,7308,-73.991972,40.257,sidewalk and lawn of front yard
6122,3.139,2,Good: +/- 0.10 ft,Debris,Map (digital or paper),4,NAD83,,,,Coastal,,7309,-74.008746,40.231993,concrete sidewalk
