arm,gauge,peak_mod,peak_obs,peak_err,peak_dt_min,win_h,win_full,lag_min,range_mod,range_obs
faber-waves-premier,barnegat_light,2.6057348251342773,1.588008,1.0177268251342773,1016.0,24.0,True,-43.785609279590844,0.7803529378345229,0.7208514127591452
faber-waves-premier,mantoloking,1.9071974754333496,2.1061680000000003,-0.19897052456665065,2.0,24.0,True,-58.148051637537215,0.4007952652556035,0.1673731580223587
tide-shift,barnegat_light,2.4458014965057373,1.588008,0.8577934965057372,-14.0,24.0,True,-49.93433301914614,0.754170384610559,0.7208514127591452
tide-shift,mantoloking,1.8843793869018555,2.1061680000000003,-0.2217886130981448,2.0,24.0,True,-66.70172519455738,0.40144810349199644,0.1673731580223587
wave-cora,barnegat_light,2.3650169372558594,1.588008,0.7770089372558593,-14.0,24.0,True,-38.45506705197548,0.7658006560636343,0.7208514127591452
wave-cora,mantoloking,1.8123393058776855,2.1061680000000003,-0.2938286941223147,12.0,24.0,True,-57.69547538203162,0.40533272270479836,0.1673731580223587
wave-cora+bed-baymanning,barnegat_light,2.316014528274536,1.588008,0.728006528274536,-4.0,24.0,True,-35.96724310978808,0.7516370524474718,0.7208514127591452
wave-cora+bed-baymanning,mantoloking,1.383742332458496,2.1061680000000003,-0.7224256675415042,12.0,24.0,True,-32.21743818692349,0.21650673976246343,0.1673731580223587
wave-cora+bed-ehydro,barnegat_light,2.5606582164764404,1.588008,0.9726502164764403,-14.0,24.0,True,-35.8356230432041,0.7466853029616536,0.7208514127591452
wave-cora+bed-ehydro,mantoloking,2.080848455429077,2.1061680000000003,-0.025319544570923114,-78.0,24.0,True,-59.1110845783221,0.4186770566316813,0.1673731580223587
