arm,gauge,n_wet,bed_m,dist_m,peak_mod,peak_obs,peak_err,win_full,lag_min,range_mod,range_obs
faber-waves-premier,barnegat_light,22,-3.2028257846832275,72.00555388094638,2.398158550262451,1.588,0.8101585502624511,True,-38.394270726814625,1.3681607631135444,0.7065631323076923
faber-waves-premier,mantoloking,55,-2.7858033180236816,23.24153476197017,1.9191280603408813,2.106,-0.18687193965911852,True,-63.11039922932667,0.40948555800490655,0.15599664000000002
tide-shift,barnegat_light,22,-3.2028257846832275,72.00555388094638,2.328192710876465,1.588,0.7401927108764648,True,-46.4815926801397,1.3523350970676313,0.7065631323076923
tide-shift,mantoloking,55,-2.7858033180236816,23.24153476197017,1.8967045545578003,2.106,-0.20929544544219958,True,-71.26731390888276,0.4099355070618913,0.15599664000000002
wave-cora,barnegat_light,22,-3.2028257846832275,72.00555388094638,2.3167073726654053,1.588,0.7287073726654052,True,-38.661247326119565,1.3450096530983082,0.7065631323076923
wave-cora,mantoloking,55,-2.7858033180236816,23.24153476197017,1.8232649564743042,2.106,-0.2827350435256957,True,-62.73164633547694,0.41369249595329166,0.15599664000000002
wave-cora+bed-baymanning,barnegat_light,22,-3.2028257846832275,72.00555388094638,2.303307056427002,1.588,0.7153070564270019,True,-38.61851181873206,1.3446293691488411,0.7065631323076923
wave-cora+bed-baymanning,mantoloking,55,-2.7858033180236816,23.24153476197017,1.39300537109375,2.106,-0.7129946289062499,True,-35.82441528564731,0.22855807846322515,0.15599664000000002
wave-cora+bed-ehydro,barnegat_light,22,-3.2028257846832275,72.00555388094638,2.2851645946502686,1.588,0.6971645946502685,True,-38.4846828965789,1.346382553138985,0.7065631323076923
wave-cora+bed-ehydro,mantoloking,55,-2.7858033180236816,23.24153476197017,2.0819835662841797,2.106,-0.024016433715820185,True,-63.05194815311714,0.41814413669304207,0.15599664000000002
